id,company,developer,game,porting,publisher,supporting
17092,"{'id': 2973, 'name': 'Reality Pump'}",True,7223,False,False,False
7696,"{'id': 77, 'name': 'Totally Games'}",True,166,False,False,False
133434,"{'id': 6054, 'name': 'Uppercut Games'}",True,11409,False,False,False
25903,"{'id': 37, 'name': 'Capcom'}",True,12077,False,True,False
37976,"{'id': 321, 'name': 'Tose'}",True,2543,False,False,False
42804,"{'id': 223, 'name': 'Edge of Reality'}",True,3224,False,True,False
24072,"{'id': 5042, 'name': 'Infini Entertainment Technology'}",True,221,False,False,False
64826,"{'id': 115, 'name': 'Codemasters'}",True,101439,False,True,False
16985,"{'id': 2046, 'name': 'Zombie Studios'}",True,7176,False,False,False
67443,"{'id': 16033, 'name': 'Illusion Ray Studio'}",True,88116,False,False,False
10013,"{'id': 65, 'name': 'Luxoflux'}",True,3333,False,False,False
38471,"{'id': 10212, 'name': 'Illusion'}",True,22472,False,True,False
20074,"{'id': 2821, 'name': 'Eighting'}",True,8248,False,False,False
31158,"{'id': 8258, 'name': 'Team Bloodlust'}",True,16741,False,False,False
25028,"{'id': 2344, 'name': 'Inti Creates'}",True,1779,False,False,False
54172,"{'id': 620, 'name': 'Bungie'}",True,61583,False,False,False
191438,"{'id': 38, 'name': 'Ubisoft Montreal'}",True,221823,False,False,False
191439,"{'id': 794, 'name': 'Virtuos'}",True,221823,False,False,False
6342,"{'id': 1253, 'name': 'Good Science Studio'}",True,2657,False,False,False
1772,"{'id': 97, 'name': 'New World Computing'}",True,790,False,False,False
10333,"{'id': 1976, 'name': 'NOW Production'}",True,3986,False,False,False
336009,"{'id': 1259, 'name': 'FreeStyleGames'}",True,9741,False,False,False
12460,"{'id': 741, 'name': 'Toys for Bob'}",True,1586,False,False,False
20556,"{'id': 151, 'name': 'Simtex'}",True,6466,False,False,False
1832,"{'id': 572, 'name': 'Appeal Studios'}",True,827,False,False,False
12418,"{'id': 2277, 'name': 'Animation Arts'}",True,5145,False,False,False
12809,"{'id': 2338, 'name': 'THQ San Diego'}",True,5296,False,False,False
38849,"{'id': 9427, 'name': 'Ocelot Society'}",True,18397,False,True,False
44714,"{'id': 12227, 'name': 'Sulake'}",True,27522,False,True,False
257087,"{'id': 2162, 'name': '5th Cell'}",True,5033,False,False,False
55043,"{'id': 213, 'name': 'Infogrames'}",True,1874,False,True,False
51901,"{'id': 12454, 'name': 'Standing Stone Games'}",True,5629,False,False,False
35654,"{'id': 9985, 'name': 'Guys from Andromeda'}",True,14528,False,False,False
13390,"{'id': 284, 'name': 'Maxis'}",True,5534,False,False,False
35652,"{'id': 4179, 'name': 'Infamous Quests'}",True,14528,False,False,False
35646,"{'id': 377, 'name': 'Firaxis Games'}",True,4228,False,False,False
12368,"{'id': 318, 'name': 'Rebellion Developments'}",True,5126,False,False,False
3751,"{'id': 404, 'name': 'Cyanide Studio'}",True,516,False,False,False
38994,"{'id': 1217, 'name': 'Spike Chunsoft'}",True,18443,False,False,False
26629,"{'id': 3, 'name': 'Looking Glass Studios'}",True,12987,False,False,False
1868,"{'id': 579, 'name': 'Big Huge Games'}",True,849,False,False,False
35217,"{'id': 2168, 'name': 'Drinkbox Studios'}",True,19121,False,True,False
33708,"{'id': 4096, 'name': 'Vertigo Games'}",True,18303,False,True,False
33415,"{'id': 9316, 'name': 'Antimatter Games'}",True,2609,False,False,False
95793,"{'id': 312, 'name': 'Konami Computer Entertainment Japan'}",True,12211,False,False,False
25452,"{'id': 841, 'name': 'Ubisoft Paris'}",True,3255,False,False,False
191441,"{'id': 794, 'name': 'Virtuos'}",True,221824,False,False,False
191440,"{'id': 38, 'name': 'Ubisoft Montreal'}",True,221824,False,False,False
23331,"{'id': 1363, 'name': 'Akella'}",True,9824,False,False,False
10513,"{'id': 223, 'name': 'Edge of Reality'}",True,4059,False,False,False
9637,"{'id': 1889, 'name': 'Mistic Studios'}",True,3730,False,False,False
22711,"{'id': 144, 'name': 'GSC Game World'}",True,9362,False,True,False
39615,"{'id': 66, 'name': 'Activision'}",True,6112,False,False,False
100848,"{'id': 10070, 'name': 'Namco Hometek'}",True,4063,False,False,False
69005,"{'id': 14279, 'name': 'BlackMuffin Studio'}",True,79994,False,False,False
58639,"{'id': 12473, 'name': 'Square Enix Montréal'}",True,19488,False,False,False
35447,"{'id': 3655, 'name': 'Ubisoft Pune'}",True,3256,False,False,False
25398,"{'id': 6189, 'name': 'InterAction Studios'}",True,11713,False,False,False
881,"{'id': 250, 'name': 'Square'}",True,417,False,True,False
69177,"{'id': 16272, 'name': 'CHG'}",True,98753,False,True,False
37673,"{'id': 100, 'name': 'Nival Interactive'}",True,11407,False,False,False
3980,"{'id': 315, 'name': 'Trion Worlds'}",True,1973,False,True,False
6259,"{'id': 1234, 'name': 'System 3 Software'}",True,2614,False,False,False
5271,"{'id': 1063, 'name': 'Semi Secret Software'}",True,2270,False,True,False
28376,"{'id': 196, 'name': 'Relic Entertainment'}",True,14551,False,False,False
35622,"{'id': 818, 'name': 'Atlus'}",True,19329,False,True,False
26601,"{'id': 37, 'name': 'Capcom'}",True,12937,False,True,False
152,"{'id': 10, 'name': 'LucasArts'}",True,161,False,True,False
23662,"{'id': 5449, 'name': 'Disruptive Games'}",True,10090,False,False,False
68927,"{'id': 16222, 'name': 'Juggler Games'}",True,27192,False,False,False
38777,"{'id': 6080, 'name': 'Tiger and Squid'}",True,11135,False,False,False
71803,"{'id': 16985, 'name': 'Blind Sky Studios'}",True,33049,False,True,False
16781,"{'id': 38, 'name': 'Ubisoft Montreal'}",True,7101,False,False,False
16601,"{'id': 2972, 'name': 'Metropolis Software'}",True,7018,False,False,False
33852,"{'id': 9414, 'name': 'Hipnotic Interactive'}",True,15760,False,False,False
35615,"{'id': 899, 'name': 'Ubisoft Milan'}",True,11206,False,False,False
35614,"{'id': 841, 'name': 'Ubisoft Paris'}",True,11206,False,False,False
36395,"{'id': 365, 'name': 'Rockstar North'}",True,5850,False,False,False
24650,"{'id': 837, 'name': 'LEVEL-5'}",True,11326,False,False,False
2860,"{'id': 280, 'name': 'Starbreeze Studios'}",True,1222,False,False,False
